,id,titleText,releaseYear,releaseMonth,Categoria,Tipo
0,tt0059325,Jahrgang 45,1990.0,10.0,Drama,movie
1,tt0059900,"Wenn du groß bist, lieber Adam",1990.0,10.0,Drama,movie
2,tt0065188,"Vojtech, receny sirotek",1990.0,10.0,Drama,movie
3,tt0068494,Domo Arigato,1990.0,8.0,Drama,movie
4,tt0075259,Spy Story,1990.0,3.0,Drama,movie
5,tt0081721,Vincent et moi,1990.0,12.0,Drama,movie
6,tt0090665,Asfour Stah,1990.0,3.0,Drama,movie
7,tt0093210,La hora 24,1990.0,,Drama,movie
8,tt0093989,Xian sha lu,1990.0,11.0,Drama,movie
9,tt0090665,Asfour Stah,1990.0,3.0,Comedy,movie
10,tt0091899,O Escorpião Escarlate,1990.0,,Comedy,movie
11,tt0095840,Payback,1990.0,4.0,Comedy,movie
12,tt0097253,Dezha vyu,1990.0,4.0,Comedy,movie
13,tt0096506,Zhong Ri nan bei he,1990.0,5.0,Comedy,movie
14,tt0096830,Aquí huele a muerto... (¡pues yo no he sido!),1990.0,1.0,Comedy,movie
15,tt0095878,Pledge Night,1990.0,12.0,Comedy,movie
16,tt0096845,Atlantic Rhapsody - 52 myndir úr Tórshavn,1990.0,1.0,Comedy,movie
17,tt0097365,Flesh Gordon Meets the Cosmic Cheerleaders,1990.0,7.0,Comedy,movie
18,tt0097062,"Chyornaya roza - emblema pechali, krasnaya roza - emblema lyubvi",1990.0,1.0,Comedy,movie
19,tt0075259,Spy Story,1990.0,3.0,Action,movie
20,tt0090869,Comando terrorista,1990.0,,Action,movie
21,tt0092926,Dragon Hunt,1990.0,6.0,Action,movie
22,tt0094376,Huang jia shi jie zhi: Zhong jian ren,1990.0,6.0,Action,movie
23,tt0094004,Soldier of Fortune,1990.0,4.0,Action,movie
24,tt0093989,Xian sha lu,1990.0,11.0,Action,movie
25,tt0095095,Emperor of the Bronx,1990.0,4.0,Action,movie
26,tt0095290,Hei hai ba wang hua,1990.0,9.0,Action,movie
27,tt0095840,Payback,1990.0,4.0,Action,movie
28,tt0096469,Wu ye tian shi,1990.0,10.0,Action,movie
29,tt0059900,"Wenn du groß bist, lieber Adam",1990.0,10.0,Fantasy,movie
30,tt0081721,Vincent et moi,1990.0,12.0,Fantasy,movie
31,tt0093210,La hora 24,1990.0,,Fantasy,movie
32,tt0094874,Chu tu qi bing,1990.0,5.0,Fantasy,movie
33,tt0097638,Hoi sum gwai gau hoi sum gwai,1990.0,6.0,Fantasy,movie
34,tt0098150,Qu mo jing cha,1990.0,11.0,Fantasy,movie
35,tt0098658,Wings of Fame,1990.0,3.0,Fantasy,movie
36,tt0097184,Demonstone,1990.0,2.0,Fantasy,movie
37,tt0098920,Swinka,1990.0,3.0,Fantasy,movie
38,tt0099472,Ducktales de film: Het geheim van de wonderlamp,1990.0,3.0,Fantasy,movie
39,tt0094997,Demonia,1990.0,10.0,Horror,movie
40,tt0096871,Baby Blood,1990.0,1.0,Horror,movie
41,tt0096830,Aquí huele a muerto... (¡pues yo no he sido!),1990.0,1.0,Horror,movie
42,tt0095878,Pledge Night,1990.0,12.0,Horror,movie
43,tt0096954,Bloodmoon,1990.0,3.0,Horror,movie
44,tt0097726,Legion of Iron,1990.0,8.0,Horror,movie
45,tt0097638,Hoi sum gwai gau hoi sum gwai,1990.0,6.0,Horror,movie
46,tt0098136,Prom Night III: The Last Kiss,1990.0,11.0,Horror,movie
47,tt0099180,Bride of Re-Animator,1990.0,7.0,Horror,movie
48,tt0099253,Child's Play 2,1990.0,11.0,Horror,movie
49,tt0075259,Spy Story,1990.0,3.0,Mystery,movie
50,tt0092589,Astonished,1990.0,,Mystery,movie
51,tt0094997,Demonia,1990.0,10.0,Mystery,movie
52,tt0096177,Still Life,1990.0,11.0,Mystery,movie
53,tt0097573,In the Cold of the Night,1990.0,12.0,Mystery,movie
54,tt0098100,The Platinum Triangle,1990.0,3.0,Mystery,movie
55,tt0096749,Abatjour 2,1990.0,,Mystery,movie
56,tt0097738,La leyenda de una máscara,1990.0,2.0,Mystery,movie
57,tt0099044,Another 48 Hrs.,1990.0,8.0,Mystery,movie
58,tt0097765,Ljeto za sjecanje,1990.0,5.0,Mystery,movie
59,tt0059325,Jahrgang 45,1990.0,10.0,Romance,movie
60,tt0096025,Sailors Don't Cry,1990.0,6.0,Romance,movie
61,tt0097062,"Chyornaya roza - emblema pechali, krasnaya roza - emblema lyubvi",1990.0,1.0,Romance,movie
62,tt0096763,Adultery,1990.0,,Romance,movie
63,tt0097994,Nobody's Perfect,1990.0,6.0,Romance,movie
64,tt0097619,Gat seng gung ziu,1990.0,1.0,Romance,movie
65,tt0096749,Abatjour 2,1990.0,,Romance,movie
66,tt0097106,Conte de printemps,1990.0,2.0,Romance,movie
67,tt0096875,Catchfire,1990.0,4.0,Romance,movie
68,tt0097399,Fuflo,1990.0,10.0,Romance,movie
69,tt0075259,Spy Story,1990.0,3.0,Thriller,movie
70,tt0094004,Soldier of Fortune,1990.0,4.0,Thriller,movie
71,tt0100062,Love Pig,1990.0,12.0,Comedy,short
72,tt12621180,Dafna,1990.0,,Fantasy,short
73,tt13555938,Mahô tsukai Sarî,1990.0,3.0,Fantasy,short
74,tt13672464,Up!,1990.0,9.0,Fantasy,short
75,tt15073628,Illyuzion,1990.0,,Fantasy,short
76,tt2014206,Deepa & Rupa: A Fairy Tale from India,1990.0,9.0,Fantasy,short
77,tt4401830,"O vodovodu, který zpíval v opere",1990.0,,Fantasy,short
78,tt9222958,The Door in the Wall,1990.0,,Fantasy,short
79,tt0312670,Exit,1990.0,7.0,Horror,short
80,tt0366283,The Canterville Ghost,1990.0,7.0,Horror,short
81,tt4863918,Dvynys,1990.0,,Mystery,short
82,tt5537764,Confrontation,1990.0,6.0,Mystery,short
83,tt8119162,Roadkill,1990.0,3.0,Mystery,short
84,tt0099723,O Gémeo Diferente,1991.0,2.0,Mystery,short
85,tt0165984,Thwarted,1991.0,6.0,Mystery,short
86,tt0357318,Within the Shadows,1991.0,9.0,Mystery,short
87,tt0356477,The Colors of Johnny,1991.0,4.0,Mystery,short
88,tt0824705,Tessa,1991.0,,Mystery,short
89,tt14818036,Stimuli,1991.0,1.0,Mystery,short
90,tt27927866,Journey to the End,1991.0,,Mystery,short
91,tt7967266,El espejo de dos lunas,1990.0,,Romance,short
92,tt1341308,Writer's Block,1990.0,6.0,Thriller,short
93,tt13491186,The Short Night,1990.0,,Thriller,short
94,tt1401713,Elvis Killed My Brother,1990.0,5.0,Thriller,short
95,tt1772810,Des yeux couleur du temps,1990.0,5.0,Thriller,short
96,tt1890453,Long Story Short,1990.0,5.0,Thriller,short
97,tt0098962,12:01 PM,1991.0,4.0,Thriller,short
